Time (Sec);S1;S12;S2;S11;
0.0;19159.9999;19159.9999;19160.0;19159.9999;
1.0;19159.995164;19159.995637599997;19159.9935936;19159.995537599996;
2.0;19159.995164;19159.995637599997;19159.9913056;19159.990701599996;
3.0;19159.995164;19159.995637599997;19159.9890176;19159.985865599996;
4.0;19159.995164;19159.995637599997;19159.9869584;19159.981503199993;
5.0;19159.995064;19159.995637599997;19159.9848992;19159.97714079999;
6.0;19159.990328;19159.995637599997;19159.980552;19159.972778399988;
7.0;19159.990328;19159.995637599997;19159.9784928;19159.968415999985;
8.0;19159.990328;19159.995637599997;19159.9762048;19159.963579999985;
9.0;19159.990328;19159.995637599997;19159.9741456;19159.959217599982;
10.0;19159.990228;19159.995537599996;19159.9718576;19159.954381599982;
11.0;19159.985492;19159.991275199995;19159.9654512;19159.95001919998;
12.0;19159.985492;19159.991275199995;19159.963392;19159.945656799977;
13.0;19159.985492;19159.991275199995;19159.961104;19159.940820799977;
14.0;19159.985492;19159.991275199995;19159.958816000002;19159.935984799977;
15.0;19159.985392;19159.991275199995;19159.956528000002;19159.931148799977;
16.0;19159.980656;19159.991275199995;19159.952180800003;19159.926786399974;
17.0;19159.980656;19159.991275199995;19159.950121600003;19159.92242399997;
18.0;19159.980656;19159.991275199995;19159.947833600003;19159.91758799997;
19.0;19159.980656;19159.991275199995;19159.945545600003;19159.91275199997;
20.0;19159.980556;19159.991175199993;19159.943257600004;19159.90791599997;
21.0;19159.97582;19159.986912799992;19159.936851200004;19159.90355359997;
22.0;19159.97582;19159.986912799992;19159.934563200004;19159.89871759997;
23.0;19159.97582;19159.986912799992;19159.932504000004;19159.894355199966;
24.0;19159.97582;19159.986912799992;19159.930444800004;19159.889992799963;
25.0;19159.97572;19159.986912799992;19159.928156800004;19159.885256799964;
26.0;19159.970984;19159.986912799992;19159.923580800005;19159.880320799963;
27.0;19159.970984;19159.986912799992;19159.921521600005;19159.87595839996;
28.0;19159.970984;19159.986912799992;19159.919233600005;19159.87112239996;
29.0;19159.970984;19159.986912799992;19159.917174400005;19159.866759999957;
30.0;19159.970884;19159.98681279999;19159.915115200005;19159.862397599954;
31.0;19159.966148;19159.98255039999;19159.908480000006;19159.857561599954;
32.0;19159.966148;19159.98255039999;19159.906192000006;19159.852725599954;
33.0;19159.966148;19159.98255039999;19159.904132800006;19159.84836319995;
34.0;19159.966148;19159.98255039999;19159.902073600006;19159.84400079995;
35.0;19159.966048;19159.98255039999;19159.900014400006;19159.839738399947;
36.0;19159.961312;19159.98255039999;19159.895438400006;19159.834802399946;
37.0;19159.961312;19159.98255039999;19159.893379200006;19159.830439999943;
38.0;19159.961312;19159.98255039999;19159.891091200006;19159.825603999943;
39.0;19159.961312;19159.98255039999;19159.889032000006;19159.82124159994;
40.0;19159.961212;19159.982450399988;19159.886972800006;19159.816879199938;
41.0;19159.956476;19159.978187999986;19159.880566400007;19159.812516799935;
42.0;19159.956476;19159.978187999986;19159.878278400007;19159.807680799935;
43.0;19159.956476;19159.978187999986;19159.876219200007;19159.803318399932;
44.0;19159.956476;19159.978187999986;19159.873931200007;19159.798482399932;
45.0;19159.956376;19159.978187999986;19159.871643200007;19159.793746399933;
46.0;19159.95164;19159.978187999986;19159.867296000008;19159.78928399993;
47.0;19159.95164;19159.978187999986;19159.865236800008;19159.784921599927;
48.0;19159.95164;19159.978187999986;19159.863177600007;19159.780559199924;
49.0;19159.95164;19159.978187999986;19159.860889600008;19159.775723199924;
50.0;19159.95154;19159.978087999985;19159.858830400008;19159.771460799922;
51.0;19159.9463304;19159.973825599984;19159.85196640001;19159.76652479992;
52.0;19159.9463304;19159.973825599984;19159.84990720001;19159.76216239992;
53.0;19159.9463304;19159.973825599984;19159.84761920001;19159.75732639992;
54.0;19159.9463304;19159.973825599984;19159.84533120001;19159.75249039992;
55.0;19159.946230399997;19159.973825599984;19159.84327200001;19159.748227999917;
56.0;19159.9414944;19159.973825599984;19159.83892480001;19159.743765599913;
57.0;19159.9414944;19159.973825599984;19159.83663680001;19159.738929599913;
58.0;19159.9414944;19159.973825599984;19159.83434880001;19159.734093599913;
59.0;19159.9414944;19159.973825599984;19159.83206080001;19159.729257599913;
60.0;19159.9414944;19159.973725599983;19159.83000160001;19159.72499519991;
61.00422666666666;19159.936658399998;19159.96946319998;19159.82107840001;19159.71532319991;
62.00313733333333;19159.936658399998;19159.96946319998;19159.81901920001;19159.71096079991;
63.00422666666666;19159.936658399998;19159.96946319998;19159.81673120001;19159.706124799908;
64.00422666666665;19159.936658399998;19159.96946319998;19159.81444320001;19159.701288799908;
65.00422666666665;19159.931822399998;19159.96946319998;19159.812155200012;19159.696452799908;
66.00313733333331;19159.931822399998;19159.96946319998;19159.807808000012;19159.692090399905;
67.00313733333331;19159.931822399998;19159.96946319998;19159.805748800012;19159.687727999903;
68.00313733333331;19159.931822399998;19159.96946319998;19159.803689600012;19159.6833655999;
69.00422666666665;19159.931822399998;19159.96946319998;19159.801401600012;19159.6785295999;
70.00313733333331;19159.926986399998;19159.96510079998;19159.799342400012;19159.6736935999;
71.00422666666665;19159.926986399998;19159.96510079998;19159.792478400013;19159.6688575999;
72.00313733333331;19159.926986399998;19159.96510079998;19159.790419200013;19159.664495199897;
73.00313733333331;19159.926986399998;19159.96510079998;19159.788360000013;19159.660132799894;
74.00422666666665;19159.926986399998;19159.96510079998;19159.786072000014;19159.655296799894;
75.00313733333333;19159.922150399998;19159.96510079998;19159.781724800014;19159.65093439989;
76.0;19159.922150399998;19159.96510079998;19159.781724800014;19159.65083439989;
77.0;19159.922150399998;19159.96510079998;19159.779665600014;19159.646471999888;
78.0;19159.922150399998;19159.96510079998;19159.777377600014;19159.641635999888;
79.0;19159.922150399998;19159.96510079998;19159.775089600014;19159.636799999887;
80.0;19159.922150399998;19159.965000799977;19159.772801600015;19159.63206399989;
81.0;19159.917314399998;19159.960738399976;19159.766166400015;19159.627127999887;
82.0;19159.917314399998;19159.960738399976;19159.764107200015;19159.622765599885;
83.0;19159.917314399998;19159.960738399976;19159.762048000015;19159.618403199882;
84.0;19159.917314399998;19159.960738399976;19159.759988800015;19159.61404079988;
85.00313733333333;19159.912478399998;19159.960738399976;19159.753582400015;19159.605415999875;
86.0;19159.912478399998;19159.960738399976;19159.753582400015;19159.605315999874;
87.0;19159.912478399998;19159.960738399976;19159.751294400015;19159.600479999874;
88.0;19159.912478399998;19159.960738399976;19159.749006400016;19159.595643999874;
89.0;19159.912478399998;19159.960738399976;19159.746718400016;19159.590807999874;
90.00422666666665;19159.907642399998;19159.955902399975;19159.742371200016;19159.581709599872;
91.00313733333331;19159.907642399998;19159.955902399975;19159.735736000017;19159.57734719987;
92.00313733333331;19159.907642399998;19159.955902399975;19159.733676800017;19159.572984799866;
93.00313733333331;19159.907642399998;19159.955902399975;19159.731617600017;19159.568622399864;
94.00313733333331;19159.907642399998;19159.955902399975;19159.729558400017;19159.56425999986;
95.00422666666664;19159.902806399998;19159.955902399975;19159.727270400017;19159.55942399986;
96.00422666666664;19159.902806399998;19159.955902399975;19159.722694400018;19159.55458799986;
97.0031373333333;19159.902806399998;19159.955902399975;19159.720635200018;19159.550225599858;
98.00422666666664;19159.902806399998;19159.955902399975;19159.718347200018;19159.545389599858;
99.0031373333333;19159.902806399998;19159.955902399975;19159.716288000018;19159.541027199855;
